group,sensitivity,specificity,group_type,boot_id
Non-Hispanic White,0.5888324873096447,0.9099099099099099,race,1903
Other Hispanic,0.5813953488372093,0.968421052631579,race,1903
Other Race - Including Multi-Racial,0.45161290322580644,0.9215686274509803,race,1903
Above 4x poverty line,0.3230769230769231,0.9767441860465116,income,1903
Below poverty line,0.6213592233009708,0.891156462585034,income,1903
Middle (2-4x),0.5290322580645161,0.9681818181818181,income,1903
Near poverty (1-2x),0.6214285714285714,0.9078947368421053,income,1903
Mexican American,0.32786885245901637,0.9133333333333333,race,1904
Non-Hispanic Asian,0.28125,0.9894736842105263,race,1904
Non-Hispanic Black,0.5151515151515151,0.9173228346456693,race,1904
Non-Hispanic White,0.5939086294416244,0.9129129129129129,race,1904
Other Hispanic,0.5348837209302325,0.9263157894736842,race,1904
Other Race - Including Multi-Racial,0.45161290322580644,0.9215686274509803,race,1904
Above 4x poverty line,0.3384615384615385,0.9788732394366197,income,1904
Below poverty line,0.514018691588785,0.8513513513513513,income,1904
Middle (2-4x),0.4817073170731707,0.9360189573459715,income,1904
Near poverty (1-2x),0.6141732283464567,0.9041095890410958,income,1904
Mexican American,0.5409836065573771,0.9333333333333333,race,1905
Non-Hispanic Asian,0.28125,0.9789473684210527,race,1905
Non-Hispanic Black,NA,0.9606299212598425,race,1905
Non-Hispanic White,0.5685279187817259,0.9069069069069069,race,1905
Other Hispanic,0.6511627906976745,0.9368421052631579,race,1905
Other Race - Including Multi-Racial,0.5806451612903226,0.9803921568627451,race,1905
Above 4x poverty line,0.39285714285714285,0.9810606060606061,income,1905
Below poverty line,NA,0.912751677852349,income,1905
Middle (2-4x),0.51875,0.9436936936936937,income,1905
Near poverty (1-2x),0.6136363636363636,0.9120370370370371,income,1905
Mexican American,0.4426229508196721,0.9333333333333333,race,1906
Non-Hispanic Asian,0.34375,0.9631578947368421,race,1906
Non-Hispanic Black,0.5353535353535354,0.937007874015748,race,1906
Non-Hispanic White,0.5736040609137056,0.9039039039039038,race,1906
Other Hispanic,0.4186046511627907,0.9368421052631579,race,1906
Other Race - Including Multi-Racial,0.41935483870967744,0.9411764705882353,race,1906
Above 4x poverty line,0.2898550724637681,0.9816176470588235,income,1906
Below poverty line,0.5980392156862745,0.9194630872483222,income,1906
Middle (2-4x),0.506578947368421,0.9176470588235294,income,1906
Near poverty (1-2x),0.55,0.9030837004405287,income,1906
Mexican American,0.45901639344262296,0.88,race,1907
Non-Hispanic Asian,0.21875,0.9631578947368421,race,1907
Non-Hispanic Black,NA,0.9251968503937008,race,1907
Non-Hispanic White,0.5634517766497462,0.8888888888888888,race,1907
Other Hispanic,0.5116279069767442,0.8947368421052632,race,1907
Other Race - Including Multi-Racial,0.3548387096774194,0.9019607843137255,race,1907
Above 4x poverty line,0.38028169014084506,0.9822064056939501,income,1907
Below poverty line,NA,0.8283582089552238,income,1907
Middle (2-4x),0.44871794871794873,0.9152542372881356,income,1907
Near poverty (1-2x),0.5886524822695035,0.8653061224489796,income,1907
Mexican American,0.39344262295081966,0.9266666666666666,race,1908
Non-Hispanic Asian,0.5,0.9736842105263158,race,1908
Non-Hispanic Black,NA,0.952755905511811,race,1908
Non-Hispanic White,0.5685279187817259,0.8828828828828829,race,1908
Other Hispanic,0.5348837209302325,0.9578947368421052,race,1908
Other Race - Including Multi-Racial,0.4838709677419355,0.9215686274509803,race,1908
Above 4x poverty line,0.359375,0.9918367346938776,income,1908
Below poverty line,NA,0.8859060402684564,income,1908
Middle (2-4x),0.5217391304347826,0.9396135265700483,income,1908
Near poverty (1-2x),0.5694444444444444,0.8830188679245283,income,1908
Mexican American,0.3770491803278688,0.9266666666666666,race,1909
Non-Hispanic Asian,0.375,0.9842105263157894,race,1909
Non-Hispanic Black,0.5858585858585859,0.937007874015748,race,1909
Non-Hispanic White,0.5939086294416244,0.9099099099099099,race,1909
Other Hispanic,0.5581395348837209,0.9578947368421052,race,1909
Other Race - Including Multi-Racial,0.6774193548387096,0.9215686274509803,race,1909
Above 4x poverty line,0.32653061224489793,0.9844357976653697,income,1909
Below poverty line,0.5619047619047619,0.9235668789808917,income,1909
Middle (2-4x),0.5460122699386503,0.9427917620137299,income,1909
Near poverty (1-2x),0.6232876712328768,0.8783783783783784,income,1909
Mexican American,0.4262295081967213,0.92,race,1910
Non-Hispanic Asian,0.25,0.9736842105263158,race,1910
Non-Hispanic Black,0.5151515151515151,0.9488188976377953,race,1910
Non-Hispanic White,0.5736040609137056,0.9009009009009009,race,1910
Other Hispanic,0.6511627906976745,0.8842105263157894,race,1910
Other Race - Including Multi-Racial,0.5806451612903226,0.9607843137254902,race,1910
Above 4x poverty line,0.42105263157894735,0.9770114942528736,income,1910
Below poverty line,0.5631067961165048,0.9102564102564102,income,1910
Middle (2-4x),0.5094339622641509,0.9260969976905312,income,1910
Near poverty (1-2x),0.5625,0.8923766816143498,income,1910
Mexican American,0.45901639344262296,0.9733333333333334,race,1911
Non-Hispanic Asian,0.34375,0.9578947368421052,race,1911
Non-Hispanic Black,NA,0.9330708661417323,race,1911
Non-Hispanic White,0.5329949238578681,0.918918918918919,race,1911
Other Hispanic,0.5116279069767442,0.9052631578947369,race,1911
Other Race - Including Multi-Racial,0.7419354838709677,0.9607843137254902,race,1911
Above 4x poverty line,0.4411764705882353,0.9850746268656716,income,1911
Below poverty line,NA,0.8614457831325302,income,1911
Middle (2-4x),0.4645161290322581,0.9473684210526315,income,1911
Near poverty (1-2x),0.6,0.9208333333333333,income,1911
Mexican American,0.4426229508196721,0.94,race,1912
Non-Hispanic Asian,0.375,0.9631578947368421,race,1912
Non-Hispanic Black,NA,0.9409448818897638,race,1912
Non-Hispanic White,0.583756345177665,0.9129129129129129,race,1912
Other Hispanic,0.627906976744186,0.8842105263157894,race,1912
Other Race - Including Multi-Racial,0.7096774193548387,0.9607843137254902,race,1912
Above 4x poverty line,0.5692307692307692,0.9853479853479854,income,1912
Below poverty line,NA,0.8698630136986302,income,1912
Middle (2-4x),0.52,0.931924882629108,income,1912
Near poverty (1-2x),0.6129032258064516,0.9078947368421053,income,1912
Mexican American,0.4098360655737705,0.94,race,1913
Non-Hispanic Asian,0.34375,0.9526315789473684,race,1913
Non-Hispanic Black,0.5757575757575758,0.9291338582677166,race,1913
Non-Hispanic White,0.5583756345177665,0.8798798798798799,race,1913
Other Hispanic,0.6046511627906976,0.9578947368421052,race,1913
Other Race - Including Multi-Racial,0.5483870967741935,0.9215686274509803,race,1913
Above 4x poverty line,0.41379310344827586,0.9675090252707581,income,1913
Below poverty line,0.5833333333333334,0.8943661971830986,income,1913
Middle (2-4x),0.4666666666666667,0.9144893111638955,income,1913
Near poverty (1-2x),0.6180555555555556,0.8969957081545065,income,1913
Mexican American,0.39344262295081966,0.94,race,1914
Non-Hispanic Asian,0.21875,0.9578947368421052,race,1914
Non-Hispanic Black,0.6161616161616161,0.9409448818897638,race,1914
Non-Hispanic White,0.6243654822335025,0.9039039039039038,race,1914
Other Hispanic,0.5348837209302325,0.9473684210526315,race,1914
Other Race - Including Multi-Racial,0.6129032258064516,0.9411764705882353,race,1914
Above 4x poverty line,0.5,0.972972972972973,income,1914
Below poverty line,0.6836734693877551,0.8711656441717791,income,1914
Middle (2-4x),0.5178571428571429,0.9605911330049262,income,1914
Near poverty (1-2x),0.5354330708661418,0.8857142857142857,income,1914
Mexican American,0.45901639344262296,0.94,race,1915
Non-Hispanic Asian,0.21875,0.9789473684210527,race,1915
Non-Hispanic Black,0.5454545454545454,0.937007874015748,race,1915
Non-Hispanic White,0.6395939086294417,0.8798798798798799,race,1915
Other Hispanic,0.6976744186046512,0.9368421052631579,race,1915
Other Race - Including Multi-Racial,0.45161290322580644,0.9803921568627451,race,1915
Above 4x poverty line,0.4126984126984127,0.9584775086505191,income,1915
Below poverty line,0.5925925925925926,0.8951048951048951,income,1915
Middle (2-4x),0.5325443786982249,0.9373433583959899,income,1915
Near poverty (1-2x),0.6422764227642277,0.9008264462809917,income,1915
Mexican American,0.3442622950819672,0.92,race,1916
Non-Hispanic Asian,0.40625,0.9736842105263158,race,1916
Non-Hispanic Black,0.6666666666666666,0.9251968503937008,race,1916
Non-Hispanic White,0.5736040609137056,0.8828828828828829,race,1916
Other Hispanic,0.6511627906976745,0.9473684210526315,race,1916
Other Race - Including Multi-Racial,0.5161290322580645,0.9411764705882353,race,1916
Above 4x poverty line,0.32857142857142857,0.9792387543252595,income,1916
Below poverty line,0.6222222222222222,0.8827586206896552,income,1916
Middle (2-4x),0.6027397260273972,0.9193954659949622,income,1916
Near poverty (1-2x),0.5732484076433121,0.8842975206611571,income,1916
Mexican American,0.5409836065573771,0.94,race,1917
Non-Hispanic Asian,0.5625,0.9631578947368421,race,1917
Non-Hispanic Black,0.6161616161616161,0.952755905511811,race,1917
Non-Hispanic White,0.5989847715736041,0.8768768768768769,race,1917
Other Hispanic,0.4186046511627907,0.9578947368421052,race,1917
Other Race - Including Multi-Racial,0.6451612903225806,0.9607843137254902,race,1917
Above 4x poverty line,0.484375,0.9690721649484536,income,1917
Below poverty line,0.7,0.9148936170212766,income,1917
Middle (2-4x),0.5419354838709678,0.9258373205741627,income,1917
Near poverty (1-2x),0.5671641791044776,0.8968609865470852,income,1917
Mexican American,0.39344262295081966,0.9666666666666667,race,1918
Non-Hispanic Asian,0.28125,0.9578947368421052,race,1918
Non-Hispanic Black,0.4444444444444444,0.9409448818897638,race,1918
Non-Hispanic White,0.5532994923857868,0.8918918918918919,race,1918
Other Hispanic,0.6744186046511628,0.9368421052631579,race,1918
Other Race - Including Multi-Racial,0.5161290322580645,0.9411764705882353,race,1918
Above 4x poverty line,0.34375,0.9746376811594203,income,1918
Below poverty line,0.62,0.8896103896103896,income,1918
Middle (2-4x),0.425,0.9311224489795918,income,1918
Near poverty (1-2x),0.5683453237410072,0.9123505976095617,income,1918
Mexican American,0.47540983606557374,0.9266666666666666,race,1919
Non-Hispanic Asian,0.34375,0.9789473684210527,race,1919
Non-Hispanic Black,0.6161616161616161,0.9251968503937008,race,1919
Non-Hispanic White,0.5532994923857868,0.8948948948948949,race,1919
Other Hispanic,0.5348837209302325,0.8947368421052632,race,1919
Other Race - Including Multi-Racial,0.5483870967741935,0.9411764705882353,race,1919
Above 4x poverty line,0.3333333333333333,0.9776951672862454,income,1919
Below poverty line,0.6458333333333334,0.8441558441558441,income,1919
Middle (2-4x),0.506578947368421,0.9285714285714286,income,1919
Near poverty (1-2x),0.6083916083916084,0.9069767441860465,income,1919
Mexican American,0.4262295081967213,0.94,race,1920
Non-Hispanic Asian,0.34375,0.968421052631579,race,1920
Non-Hispanic Black,0.494949494949495,0.937007874015748,race,1920
Non-Hispanic White,0.6751269035532995,0.8738738738738738,race,1920
Other Hispanic,0.4418604651162791,0.9789473684210527,race,1920
Other Race - Including Multi-Racial,0.5806451612903226,0.9411764705882353,race,1920
Above 4x poverty line,0.3333333333333333,0.9914893617021276,income,1920
Below poverty line,0.6486486486486487,0.8604651162790697,income,1920
Middle (2-4x),0.48484848484848486,0.9410377358490566,income,1920
Near poverty (1-2x),0.6538461538461539,0.8884297520661157,income,1920
Mexican American,0.39344262295081966,0.9266666666666666,race,1921
Non-Hispanic Asian,0.3125,0.9631578947368421,race,1921
Non-Hispanic Black,NA,0.9448818897637795,race,1921
Non-Hispanic White,0.6294416243654822,0.8858858858858859,race,1921
Other Hispanic,0.6046511627906976,0.9578947368421052,race,1921
Other Race - Including Multi-Racial,0.41935483870967744,0.9803921568627451,race,1921
Above 4x poverty line,0.5370370370370371,0.9818840579710145,income,1921
Below poverty line,NA,0.8544303797468354,income,1921
Middle (2-4x),0.45962732919254656,0.9265822784810127,income,1921
Near poverty (1-2x),0.6277372262773723,0.9262295081967213,income,1921
Mexican American,0.4262295081967213,0.9666666666666667,race,1922
Non-Hispanic Asian,0.21875,0.9526315789473684,race,1922
Non-Hispanic Black,NA,0.9212598425196851,race,1922
Non-Hispanic White,0.6192893401015228,0.9069069069069069,race,1922
Other Hispanic,0.6046511627906976,0.9368421052631579,race,1922
Other Race - Including Multi-Racial,0.5161290322580645,0.9019607843137255,race,1922
Above 4x poverty line,0.29508196721311475,0.9809160305343512,income,1922
Below poverty line,NA,0.8954248366013072,income,1922
Middle (2-4x),0.5068493150684932,0.9253012048192771,income,1922
Near poverty (1-2x),0.624113475177305,0.9012345679012346,income,1922
Mexican American,0.36065573770491804,0.8866666666666667,race,1923
Non-Hispanic Asian,0.40625,0.968421052631579,race,1923
Non-Hispanic Black,NA,0.9409448818897638,race,1923
Non-Hispanic White,0.5989847715736041,0.9039039039039038,race,1923
Other Hispanic,0.5116279069767442,0.9368421052631579,race,1923
Other Race - Including Multi-Racial,0.5161290322580645,0.9607843137254902,race,1923
Above 4x poverty line,0.38461538461538464,0.9781021897810219,income,1923
Below poverty line,NA,0.85625,income,1923
Middle (2-4x),0.5304878048780488,0.9298245614035088,income,1923
Near poverty (1-2x),0.5641025641025641,0.9125,income,1923
Mexican American,0.47540983606557374,0.94,race,1924
Non-Hispanic Asian,0.28125,0.9736842105263158,race,1924
Non-Hispanic Black,NA,0.9173228346456693,race,1924
Non-Hispanic White,0.5736040609137056,0.8918918918918919,race,1924
Other Hispanic,0.6744186046511628,0.9263157894736842,race,1924
Other Race - Including Multi-Racial,0.45161290322580644,0.9215686274509803,race,1924
Above 4x poverty line,0.3333333333333333,0.97265625,income,1924
Below poverty line,NA,0.8924050632911392,income,1924
Middle (2-4x),0.514792899408284,0.9166666666666666,income,1924
Near poverty (1-2x),0.6058394160583942,0.9037656903765691,income,1924
Mexican American,0.47540983606557374,0.9,race,1925
Non-Hispanic Asian,0.40625,0.9842105263157894,race,1925
Non-Hispanic Black,0.5353535353535354,0.937007874015748,race,1925
Non-Hispanic White,0.6040609137055838,0.8978978978978979,race,1925
