group,sensitivity,group_type,boot_id
Non-Hispanic Asian,0.345679012345679,race,2022
Non-Hispanic Black,0.5852713178294574,race,2022
Non-Hispanic White,0.549165120593692,race,2022
Other Hispanic,0.5774647887323944,race,2022
Other Race - Including Multi-Racial,0.5555555555555556,race,2022
Above 4x poverty line,0.38926174496644295,income,2022
Below poverty line,0.6213872832369942,income,2022
Middle (2-4x),0.498812351543943,income,2022
Near poverty (1-2x),0.5640326975476839,income,2022
Mexican American,0.495,race,2023
Non-Hispanic Asian,0.38271604938271603,race,2023
Non-Hispanic Black,0.562015503875969,race,2023
Non-Hispanic White,0.549165120593692,race,2023
Other Hispanic,0.5633802816901409,race,2023
Other Race - Including Multi-Racial,0.5555555555555556,race,2023
Above 4x poverty line,0.32075471698113206,income,2023
Below poverty line,0.6109589041095891,income,2023
Middle (2-4x),0.5028248587570622,income,2023
Near poverty (1-2x),0.5777777777777777,income,2023
Mexican American,0.445,race,2024
Non-Hispanic Asian,0.2962962962962963,race,2024
Non-Hispanic Black,0.5116279069767442,race,2024
Non-Hispanic White,0.5287569573283859,race,2024
Other Hispanic,0.6126760563380281,race,2024
Other Race - Including Multi-Racial,0.5079365079365079,race,2024
Above 4x poverty line,0.3,income,2024
Below poverty line,0.6044568245125348,income,2024
Middle (2-4x),0.45691906005221933,income,2024
Near poverty (1-2x),0.5485564304461942,income,2024
Mexican American,0.375,race,2025
Non-Hispanic Asian,0.4444444444444444,race,2025
Non-Hispanic Black,0.5193798449612403,race,2025
Non-Hispanic White,0.5417439703153989,race,2025
Other Hispanic,0.5352112676056338,race,2025
Other Race - Including Multi-Racial,0.49206349206349204,race,2025
Above 4x poverty line,0.3625,income,2025
Below poverty line,0.5548961424332344,income,2025
Middle (2-4x),0.4795180722891566,income,2025
Near poverty (1-2x),0.5390835579514824,income,2025
Mexican American,0.435,race,2026
Non-Hispanic Asian,0.4074074074074074,race,2026
Non-Hispanic Black,0.5775193798449613,race,2026
Non-Hispanic White,0.5287569573283859,race,2026
Other Hispanic,0.5704225352112676,race,2026
Other Race - Including Multi-Racial,0.6031746031746031,race,2026
Above 4x poverty line,0.3588235294117647,income,2026
Below poverty line,0.5821325648414986,income,2026
Middle (2-4x),0.48484848484848486,income,2026
Near poverty (1-2x),0.5806451612903226,income,2026
Mexican American,0.435,race,2027
Non-Hispanic Asian,0.38271604938271603,race,2027
Non-Hispanic Black,0.5852713178294574,race,2027
Non-Hispanic White,0.5473098330241187,race,2027
Other Hispanic,0.5352112676056338,race,2027
Other Race - Including Multi-Racial,0.49206349206349204,race,2027
Above 4x poverty line,0.33136094674556216,income,2027
Below poverty line,0.5942028985507246,income,2027
Middle (2-4x),0.4725848563968668,income,2027
Near poverty (1-2x),0.5932642487046632,income,2027
Mexican American,0.385,race,2028
Non-Hispanic Asian,0.345679012345679,race,2028
Non-Hispanic Black,0.5116279069767442,race,2028
Non-Hispanic White,0.5324675324675324,race,2028
Other Hispanic,0.5140845070422535,race,2028
Other Race - Including Multi-Racial,0.5555555555555556,race,2028
Above 4x poverty line,0.3375796178343949,income,2028
Below poverty line,0.5481049562682215,income,2028
Middle (2-4x),0.4835443037974684,income,2028
Near poverty (1-2x),0.5154639175257731,income,2028
Mexican American,0.47,race,2029
Non-Hispanic Asian,0.41975308641975306,race,2029
Non-Hispanic Black,0.562015503875969,race,2029
Non-Hispanic White,0.5250463821892394,race,2029
Other Hispanic,0.49295774647887325,race,2029
